Date and Time of initial call,Date and time of Ranger response,Borough,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
8/4/2018 8:50,8/4/2018 8:50,Manhattan,Central Park,West 72nd Pergala not far fro park entrance and Stawberry Fields,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-1-1596705662,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,37019
8/2/2018 15:40,8/2/2018 15:40,Manhattan,Central Park,In the grass between Cherry Hill fountain and the lakeside,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-1-159765313,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,36849
8/1/2018 8:00,8/1/2018 10:30,Manhattan,Central Park,The Ramble. In the woodlands close to the rustic shelter. Closest cross street will be West 75th and Central Park West / Westdrive,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.5,Juvenile,Small Mammals-RVS,1-1-1595450043,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,36671
7/31/2018 14:00,7/31/2018 14:05,Manhattan,Central Park,"At the reservoir, on the running path just west of the north pumphouse",Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-1-1594900390,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,36590
7/31/2018 9:00,7/31/2018 0:05,Manhattan,Central Park,Found under a tree in the grass near the pedestrian path by E74th walkway off the drive by conservatory water.,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,4,Juvenile,Small Mammals-RVS,1-1-1596705002,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,36571
7/31/2018 9:00,7/31/2018 11:30,Manhattan,Central Park,Found on the side of the pedestrian path near the bathrooms in columbus circle.,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,4,Juvenile,Small Mammals-RVS,1-1-1596705002,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,36570
7/30/2018 12:41,7/30/2018 13:00,Manhattan,Central Park,79th St and 5th Ave just south of the MET,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,1-1-1593846610,Animal Care Center,2,FALSE,FALSE,,,FALSE,FALSE,36464/36465
7/30/2018 12:50,7/30/2018 14:37,Manhattan,Central Park,On the Mall - between 72nd street and Bandshell - near staircase closest to 72nd,raccoon,Central,Native,Unhealthy,1.75,Juvenile,Small Mammals-RVS,1-1-1593101630,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,36475
7/29/2018 9:06,7/29/2018 9:08,Manhattan,Central Park,Conservatory Garden - Vanderbilt Gate - 5th ave/104th,raccoon,Employee,Native,Unhealthy,0.25,Juvenile,Small Mammals-RVS,1-1-1593319604,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,36298
7/28/2018 17:10,7/28/2018 17:15,Manhattan,Central Park,94th St and Bridle path,raccoon,Central,Native,Unhealthy,0.75,Juvenile,Small Mammals-RVS,1-1-1595729275,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,36264
7/27/2018 10:00,7/27/2018 10:30,Manhattan,Central Park,"Ramble, the oven, north of the Lake",raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-1-1594820091,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,36014
7/27/2018 8:23,7/27/2018 14:34,Manhattan,Central Park,E 110th St Playground,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.75,Juvenile,Small Mammals-RVS,1-1-1594899930,Animal Care Center,1,FALSE,FALSE,,0.5,FALSE,FALSE,36061
7/18/2018 8:21,7/18/2018 10:16,Manhattan,Central Park,Conservatory Garden - 5th and 106th -  by italian garden entrance nearest to lawn,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.5,Juvenile,Small Mammals-RVS,1-1-1589216055,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,34936
7/24/2018 9:00,7/24/2018 9:15,Manhattan,Central Park,Dana Discovery Center (110th 5th Ave).,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-1-593662489,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,35649
7/23/2018 14:50,7/23/2018 15:00,Manhattan,Central Park,West 100th off the West Drive,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-1-1593319220,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,35592
7/23/2018 8:30,7/23/2018 9:00,Manhattan,Central Park,Conservatory Gardens East 102nd near 5th Ave,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,3,Juvenile,Small Mammals-RVS,1-1-1592534181,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,35528
7/16/2018 15:00,7/16/2018 15:10,Manhattan,Central Park,Huddlestone arch,Raccoon,Employee,Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-11-587740052,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,34682
7/16/2018 12:00,7/16/2018 12:10,Manhattan,Central Park,Hecksher Playground,Raccoon,Employee,Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-11-587740051,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,34681
7/16/2018 11:00,7/16/2018 11:00,Manhattan,Central Park,103st and 5th ave,Raccoon,Employee,Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-11-587740050,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,34680
7/14/2018 11:00,7/14/2018 11:15,Manhattan,Central Park,Conservatory Gardens,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-1-1588847790,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,34433
7/12/2018 10:30,7/12/2018 11:30,Manhattan,Central Park,North Meadow Ball Fields,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-11-588847790,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,34207
7/13/2018 9:00,7/13/2018 9:30,Manhattan,Central Park,93st & Bridlepath,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-11-585670172,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,34281
7/12/2018 10:30,7/12/2018 10:50,Manhattan,Central Park,Play ground east 67th St,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,1-11-585601187,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,34206
7/10/2018 9:00,7/10/2018 9:30,Manhattan,Central Park,Lasker pool laying in-between the fence posts in the grass,Raccoon,Employee,Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-11-586639352,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,
4/3/2019 10:15,4/3/2019 10:30,Queens,Flushing Meadows Corona Park,"Near Triassic Playground (40.729679, -73.834498)",Raccoon,Employee,Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-1-1694669900,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,58987
3/27/2019 11:30,3/27/2019 11:30,Queens,Forest Park,"Behind Visitor Center (40.700421, -73.855356)",Raccoon,Public,Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-1-1694760831,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,58319
3/10/2019 13:30,3/10/2019 13:35,Queens,Forest Park,"Metropolitan Avenue and Forest Park Drive, 40.708480, -73.839022",Raccoon,Central,Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-1-1693006172,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,56771
11/14/2018 12:00,11/14/2018 12:27,Queens,Alley Pond Park,"40.742848,-73.748945 Near ball field 6",Raccoon,Employee,Native,Unhealthy,2.75,Juvenile,Small Mammals-RVS,1-1-1644540981,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,47267
11/13/2018 12:30,11/13/2018 12:45,Queens,Forest Park,"Greenhouse 40.701450, -73.856800",Raccoon,Employee,Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-1-1644144971,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,47192
7/31/2018 10:00,7/31/2018 11:15,Queens,Forest Park,Giovanelli Playground,raccoon,Central,Native,Unhealthy,0.25,Juvenile,Small Mammals-RVS,1-1-592-927-621,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,44138
2/5/2019 15:45,2/5/2019 16:00,Manhattan,Central Park,"Dana Center, Harlem Meer",Red-Eared Slider,"Conservancies/""Friends of"" Groups",Domestic,Healthy,0.5,Juvenile,Domestic,1-1-167431571,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
10/4/2018 9:05,10/4/2018 9:28,Brooklyn,Prospect Park,Grand Army Plaza,Raccoon,Employee,Native,Healthy,0.5,Juvenile,Small Mammals-RVS,1-11-625702051,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
9/7/2018 23:08,9/7/2018 23:10,Manhattan,Theodore Roosevelt Park,In the outdoor corridors between the museam buildings,Raccoon,Central,Native,Healthy,1,Juvenile,Small Mammals-RVS,1-1-1613258250,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
2/19/2019 10:30,2/19/2019 10:30,Manhattan,Mannahatta Park,A block away from the park at Wall Street,Red-tailed Hawk,Public,Native,Injured,0.15,Juvenile,Raptors,,Advised/Educated others,1,FALSE,FALSE,,,TRUE,TRUE,
6/12/2019 9:20,6/12/2019 9:20,Manhattan,Washingtom Square Park,on Sidewalk accross from the park near 10 Washington Place,Red-tailed Hawk,Other,Native,No data,0.5,Juvenile,Raptors,,Advised/Educated others,1,FALSE,FALSE,,,FALSE,FALSE,
9/3/2018 10:42,9/3/2018 10:45,Manhattan,Riverside Park,Outside of Neufeld Playground,Raccoon,Employee,Native,Dead on arrival,1,Juvenile,Small Mammals-RVS,1-1-1611145062,Animal Care Center,1,FALSE,FALSE,,,FALSE,FALSE,40497
2/16/2019 13:00,2/16/2019 13:10,Manhattan,Central Park,"Near the wall of the park close to the sidewalk entrance, Central Park North",Red-tailed Hawk,"Conservancies/""Friends of"" Groups",Native,Healthy,0.5,Juvenile,Raptors,,Monitored Animal,1,FALSE,FALSE,,,FALSE,FALSE,
8/25/2018 7:30,8/25/2018 9:30,Manhattan,Tompkins Square Park,close to East 7th and Ave A entrance,Red-tailed Hawk,Public,Native,Unhealthy,6,Juvenile,Raptors,No data,Monitored Animal,1,FALSE,FALSE,,,FALSE,FALSE,
7/27/2018 17:00,7/27/2018 5:06,Manhattan,Central Park,North Woods between East Drive and Harlem Meer/ In the sewage rocks on the walking path between the stairs and Lasker Rink,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Juvenile,Small Mammals-non RVS,,Monitored Animal,1,FALSE,FALSE,,,FALSE,FALSE,
8/16/2018 8:00,8/16/2018 9:10,Manhattan,Central Park,The Great Lawn Ball Fields between field 3 and 5,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2.5,Juvenile,Small Mammals-RVS,,Monitored Animal,1,FALSE,FALSE,,,FALSE,FALSE,
8/9/2018 8:00,8/9/2018 10:30,Manhattan,Central Park,W96th st/CPW near the grass area by the edge of the transverse,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Juvenile,Small Mammals-RVS,,Monitored Animal,1,FALSE,FALSE,,,FALSE,FALSE,
7/24/2018 17:05,7/24/2018 17:18,Manhattan,Central Park,Dana Discovery Center,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.35,Juvenile,Small Mammals-RVS,,Monitored Animal,1,FALSE,FALSE,,,FALSE,FALSE,
4/18/2019 0:00,4/18/2019 15:30,Bronx,Crotona Park,"Crotona, Indian Lake",Mallard Duck,Employee,Domestic,Healthy,3.5,Juvenile,Domestic,1-1-1709590100,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,,FALSE,FALSE,
11/21/2018 16:10,11/22/2018 11:00,Manhattan,Fort Tryon Park,Dongan Lawn,Red-tailed Hawk,Other,Native,Healthy,1.25,Juvenile,Raptors,,Rehabilitator,1,FALSE,FALSE,WINOR,,FALSE,FALSE,
9/5/2018 9:35,9/5/2018 9:40,Bronx,Crotona Park,Indian Lake,Green Heron,Employee,Native,Injured,1.5,Juvenile,Birds,1-1-1610698450,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,,FALSE,FALSE,
12/11/2018 13:35,12/11/2018 13:40,Manhattan,Bowling Green,Broadway and Whitehall St,Ring-Billed Gull,Public,Native,Injured,1.75,Juvenile,Birds,1-1-1656496312,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,,FALSE,FALSE,
11/2/2018 14:30,11/2/2018 15:00,Manhattan,Randall's Island Park,"Field 84 and East River 40.784057, -73.935578",Herring Gull,Employee,Native,Injured,2,Juvenile,Birds,1-1-1638725200,Rehabilitator,1,TRUE,FALSE,Wild Bird Fund,,FALSE,FALSE,
8/11/2018 9:04,8/11/2018 13:47,Manhattan,Washington Market Park,"in box for us, inside park house",Mourning Dove,Employee,Native,Injured,2,Juvenile,Birds,1-1-1602166950,Rehabilitator,1,FALSE,FALSE,WBF,,FALSE,FALSE,
3/9/2019 16:30,3/9/2019 17:00,Queens,Highland Park,On path between pump houses,Mute Swan,Public,Native,Injured,2.5,Juvenile,Birds,1-1-1690369940,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,,FALSE,FALSE,
10/9/2018 13:15,10/9/2018 13:30,Queens,Flushing Meadows Corona Park,Parks Academy,Downy woodpecker,Central,Native,Injured,3.25,Juvenile,Birds,1-1-1625631511,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,,FALSE,FALSE,
5/22/2019 14:50,5/22/2019 15:34,Queens,Kissena Park,Oak Ave and Underhill Ave across from the playground,Snapping Turtle,Central,Native,Injured,1.5,Juvenile,Other,1-1-1724432609,Rehabilitator,1,FALSE,FALSE,Bobby Horvath,,FALSE,FALSE,
12/7/2018 8:30,12/7/2018 9:00,Brooklyn,Fort Hamilton Recreation Center,"92nd and Ft. Hamilton Parkway, found by PD, taken to 68th precinct.",Cooper's Hawk,Central,Native,Injured,2,Juvenile,Raptors,1-1-1653352161,Rehabilitator,1,FALSE,FALSE,Bobby Horvath,,TRUE,FALSE,
2/8/2019 14:40,2/8/2019 14:55,Manhattan,Central Park,West 81st on lawn just north from Swedish Cottage,Cooper's Hawk,"Conservancies/""Friends of"" Groups",Native,Injured,1.5,Juvenile,Raptors,1-1-1680782062,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,,FALSE,FALSE,
11/14/2018 13:30,11/14/2018 13:30,Manhattan,Hudson Yards entrance to Highline Park,Not far from the Hudson Yards Entrance to Highline Park,Red-tailed Hawk,Public,Native,Injured,4,Juvenile,Raptors,1-1-1644036070,Rehabilitator,1,FALSE,FALSE,Bobby Horvath,,FALSE,FALSE,
9/17/2018 12:20,9/17/2018 12:20,Manhattan,Hester St. Playground,Eldridge st. & Canal st.,Cooper's Hawk,Public,Native,Injured,2,Juvenile,Raptors,,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,,FALSE,FALSE,
8/23/2018 16:00,8/23/2018 0:00,Manhattan,Central Park,East Drive and East 70th,Red-tailed Hawk,"Conservancies/""Friends of"" Groups",Native,Injured,2,Juvenile,Raptors,1-1-605107551,Rehabilitator,1,FALSE,FALSE,,,FALSE,FALSE,
8/2/2018 15:40,8/2/2018 15:45,Manhattan,James Finley Walk,East 68th York Avenue not far from East River,Peregrine Falcon,Other,Native,Injured,1.5,Juvenile,Raptors,1-1-1597160312,Rehabilitator,1,FALSE,FALSE,Wildbird Fund,,FALSE,FALSE,
6/8/2019 8:44,6/8/2019 9:20,Manhattan,Tompkins Square Park,Under the nest near Avenue B and East 9th Street,Red-tailed Hawk,Public,Native,No data,1.5,Juvenile,Raptors,1-1-1727159802,Rehabilitator,1,FALSE,FALSE,Animal Medical Center,,FALSE,FALSE,
9/26/2018 16:30,9/26/2018 16:50,Brooklyn,Shore Park and Parkway,North end near Owl's Head Park,Yellow Crowned Night Heron,Observed by Ranger,Native,Unhealthy,2.5,Juvenile,Birds,,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,,FALSE,FALSE,
9/20/2018 14:00,9/20/2018 14:10,Manhattan,Central Park,"Harlem Meer, 106 street and 5 Avenue",Double crested cormorant,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Juvenile,Birds,1-1-1618901740,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,,FALSE,FALSE,
8/2/2018 0:00,8/2/2018 11:00,Bronx,Crotona Park,Bathgate Playground,Red-Tailed Hawk,Central,Native,Unhealthy,4,Juvenile,Raptors,1-1-1597160311,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,,FALSE,FALSE,
7/25/2018 14:49,7/25/2018 15:00,Manhattan,Tompkins Square Park,,Red Tailed Hawk,Public,Native,Unhealthy,3,Juvenile,Raptors,1-1-1594035222,Rehabilitator,1,FALSE,FALSE,Animal Medical Center Manhattan,,FALSE,FALSE,
10/29/2018 9:25,10/29/2018 9:45,Bronx,Orchard Beach,Park Drive off of the City Island Circle,Mute Swan,Employee,Invasive,Dead on arrival,0.25,Juvenile,Birds,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
9/5/2018 12:15,9/5/2018 13:15,Queens,Rockaway Beach and Boardwalk,On the beach near shore. Closest Cross street is B44th st,Black Skimmer,Employee,Native,Dead on arrival,1,Juvenile,Birds,1-1-1613606980,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
1/2/2019 16:20,1/3/2019 9:17,Staten Island,Blood Root Valley,"10 feet off Blue trail, 40.586100, -74.130546",Deer,Other,Native,Dead on arrival,0.75,Juvenile,Deer,1-1-1664987352,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
7/13/2018 10:43,7/13/2018 10:44,Queens,Fort Totten Park,,Red-Eared Slider,Employee,Domestic,Dead on arrival,0.5,Juvenile,Domestic,1-11-588703713,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
4/29/2019 12:30,4/29/2019 12:44,Staten Island,Franklin D. Roosevelt Boardwalk and Beach,Fort Wadsworth side of beach but visible from South Beach,Seal,Employee,Native,Dead on arrival,1,Juvenile,Other,1-1-1709564922,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
12/28/2018 14:30,12/28/2018 3:30,Queens,Harvey Park,Across the street,Sharp Shinned Hawk,Public,Native,Dead on arrival,0.25,Juvenile,Raptors,1-1-1659412770,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
8/12/2018 11:00,8/12/2018 11:30,Manhattan,Central Park,79 Street transverse road,Raccoon,Other,Native,Dead on arrival,0.5,Juvenile,Small Mammals-non RVS,,Relocated/Condition Corrected,1,FALSE,FALSE,,,TRUE,FALSE,
1/23/2019 16:00,1/23/2019 16:00,Bronx,Pelham Bay Park,"40.8540993, -73.8229685",Skunk,Observed by Ranger,Native,Dead on arrival,0.5,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
10/30/2018 11:15,10/30/2018 11:30,Brooklyn,Prospect Park,"40.6629253, -73.9706536",Raccoon,Observed by Ranger,Native,Dead on arrival,0.25,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
2/26/2019 13:10,2/26/2019 13:10,Manhattan,Inwood Hill Park,In front of the rock shelters. (Indian Caves),Raccoon,Observed by Ranger,Native,Dead on arrival,0.5,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
8/24/2018 16:50,8/24/2018 17:00,Manhattan,Central Park,"Delecorte Theater, under the stage in the rafters",Raccoon,Other,Native,Dead on arrival,1.5,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
8/16/2018 11:30,8/16/2018 11:30,Manhattan,Central Park,79th Street Transverse West. On side walk,Raccoon,Public,Native,Dead on arrival,0.1,Juvenile,Small Mammals-RVS,No data,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
8/14/2018 8:53,8/14/2018 9:12,Manhattan,Central Park,100th Street Pool - SW corner - creek leading into Pool,raccoon,"Conservancies/""Friends of"" Groups",Native,Dead on arrival,0.5,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
8/6/2018 13:30,8/6/2018 13:30,Manhattan,Central Park,ball field cafe north of Hecksher ball fields,raccoon,"Conservancies/""Friends of"" Groups",Native,Dead on arrival,0.75,Juvenile,Small Mammals-RVS,No data,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
7/31/2018 20:00,8/1/2018 9:30,Manhattan,Central Park,Loeb Boathouse,Raccoon,Other,Native,Dead on arrival,0.5,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
7/28/2018 13:45,7/28/2018 14:20,Manhattan,Central Park,The Loeb Boathouse Docks,Raccoon,Other,Native,Dead on arrival,1.5,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
7/6/2018 11:00,7/6/2018 12:00,Manhattan,Central Park,alleyway of the Lasker Rink and Pool,Raccoon,Central,Native,Dead on arrival,0.5,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
11/29/2018 7:34,11/29/2018 9:00,Queens,Frank Golden Park,"Field near playground 40.784661, -73.832497",Raccoon,Central,Native,Dead on arrival,1,Juvenile,Small Mammals-RVS,1-1-1647544801,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
7/15/2018 19:00,7/15/2018 19:00,Bronx,Van Cortlandt Park,VC,Mallard Duck,Public,Native,Healthy,0.5,Juvenile,Birds,,Relocated/Condition Corrected,5,FALSE,FALSE,,,FALSE,FALSE,
7/24/2018 13:00,7/24/2018 15:00,Manhattan,Highbridge Recreation Center,,Blue Jay,Employee,Native,Healthy,1,Juvenile,Birds,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
4/4/2019 15:30,4/4/2019 15:30,Manhattan,St. Nicholas Park,135th and St. Nicholas Terrace,Corn Snake,Employee,Domestic,Healthy,2,Juvenile,Domestic,1-1-1703602281,Relocated/Condition Corrected,1,TRUE,FALSE,,,FALSE,FALSE,
7/5/2018 9:08,7/5/2018 9:19,Manhattan,Sheltering Arms Playground,,opossum,Employee,Native,Healthy,0.5,Juvenile,Small Mammals-non RVS,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
7/18/2018 9:30,7/18/2018 10:00,Bronx,Haffen Park,,Raccoon,Central,Native,Healthy,1.25,Juvenile,Small Mammals-RVS,1-1-1589094020,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
6/5/2019 10:00,6/5/2019 10:45,Manhattan,Central Park,Behind the Met Museum at East Drive and East 84th,Raccoon,Central,Native,Healthy,1,Juvenile,Small Mammals-RVS,1-1-1723397861,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
4/21/2019 0:00,4/21/2019 15:10,Manhattan,Riverside Park,Hippo Playground,Raccoon,Employee,Native,Healthy,0.5,Juvenile,Small Mammals-RVS,1-71-1055070,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
8/20/2018 11:15,8/20/2018 11:35,Manhattan,Central Park,Delacorte Theater/ Sec 4 entrance,Raccoon,Other,Native,Healthy,1,Juvenile,Small Mammals-RVS,1-1-1605102041,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
7/12/2018 12:30,7/12/2018 12:30,Manhattan,Morningside Park,Playground 123,raccoon,Employee,Native,Healthy,0.75,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
3/22/2019 15:25,3/22/2019 15:30,Queens,Forest Park,"Greenhouse, near stairs to basement",Raccoon,Employee,Native,Healthy,1,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
9/2/2018 12:45,9/2/2018 12:48,Queens,Cunningham Park,Maintenance and Operations Office by Tennis Courts,Raccoon,Central,Native,Healthy,2.25,Juvenile,Small Mammals-RVS,1-1-161-111-2542,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
7/29/2018 15:15,7/29/2018 15:15,Queens,Cunningham Park,Yellow Picnic Area,Red Bat,Employee,Native,Healthy,1.25,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
7/24/2018 16:40,7/24/2018 17:00,Queens,Brookville Park,,Raccoon,Central,Native,Healthy,2,Juvenile,Small Mammals-RVS,1-1-1593919394,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
4/23/2019 14:45,4/23/2019 15:00,Manhattan,Central Park,on Glade arch by the  Maple tree,Squirrel,Public,Native,Injured,1.75,Juvenile,Small Mammals-non RVS,1-1-1709390570,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
5/8/2019 14:30,5/8/2019 15:00,Queens,Kissena Park,By Kissena Lake - Near Kissena Recreation Center,Freshwater Fish and Turtles,Employee,Domestic,No data,0.5,Juvenile,Terrestrial Reptile or Amphibian,,Relocated/Condition Corrected,0,FALSE,FALSE,,,FALSE,FALSE,
1/18/2019 15:00,1/18/2019 16:00,Manhattan,Central Park,On Lawn near 100th Street Pool Area. (Between West 100th and 102nd),Red-tailed Hawk,"Conservancies/""Friends of"" Groups",Native,Dead on arrival,0.5,Juvenile,Raptors,1-1-1-668494800,Submitted for DEC Testing,2,FALSE,FALSE,,,FALSE,FALSE,
1/12/2019 9:00,1/12/2019 11:00,Manhattan,St. Nicholas Park,West 133rd St behind the comfort station.,Red-tailed Hawk,Central,Native,Dead on arrival,1,Juvenile,Raptors,1-1-1668498080,Submitted for DEC Testing,1,FALSE,FALSE,,,FALSE,FALSE,
12/23/2018 9:10,12/23/2018 9:45,Manhattan,Hamilton Fish Recreation Center,Pitt st.,Red-tailed Hawk,Central,Native,Dead on arrival,1,Juvenile,Raptors,1-1-1661122313,Submitted for DEC Testing,1,FALSE,FALSE,,,FALSE,FALSE,
9/6/2018 14:50,9/6/2018 14:50,Manhattan,Bryant Park,Outside the park on 6th Avenue and West 48th Street,Coopers Hawk,Other,Native,Dead on arrival,1,Juvenile,Raptors,No data,Submitted for DEC Testing,1,FALSE,FALSE,,,FALSE,FALSE,
7/21/2018 9:00,7/21/2018 9:10,Manhattan,Central Park,Dalehead Arch at the West Drive of Central Park and W 63rd St,Raccoon,Central,Native,Dead on arrival,2.5,Juvenile,Small Mammals-RVS,1-1-1591237359,Submitted for DEC Testing,1,FALSE,FALSE,,,FALSE,FALSE,
